City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,belyy yar,53.6,91.39,25.12,83,100,6.2,RU,1579974280
162,los reyes,19.35,-98.97,62.01,48,17,4,MX,1579974280
163,soyo,-6.13,12.37,84.2,83,75,6.93,AO,1579974281
164,praya,14.92,-23.51,73.85,66,15,15.48,CV,1579974281
165,sur,22.57,59.53,69.73,75,2,3.31,OM,1579974281
166,cesme,38.32,26.31,46.99,55,9,1.01,TR,1579974281
167,mar del plata,-38,-57.56,69.01,92,0,11.97,AR,1579974159
168,nichinan,31.6,131.37,50,99,100,26.98,JP,1579974282
169,clyde river,70.47,-68.59,-17.41,78,77,3.58,CA,1579974282
170,faanui,-16.48,-151.75,81.73,75,31,11.41,PF,1579974282
171,sept-iles,50.2,-66.38,19.99,63,1,1.99,CA,1579974282
172,dekar,-21.53,21.93,80.08,47,90,2.68,BW,1579974283
173,khatanga,71.97,102.5,-19.3,89,97,3.65,RU,1579974283
174,port elizabeth,-33.92,25.57,70.14,90,3,1.01,ZA,1579974283
175,camacha,33.08,-16.33,53.01,84,24,10.47,PT,1579974283
176,lagos,6.58,3.75,77.23,54,36,6.26,NG,1579974283
177,bambous virieux,-20.34,57.76,78.01,81,100,3,MU,1579974284
178,san juan,-31.54,-68.54,97.97,18,13,6.33,AR,1579974284
179,tuatapere,-46.13,167.68,52,92,14,2.86,NZ,1579974284
180,walvis bay,-22.96,14.51,69.01,86,0,5.01,NA,1579974284
181,cabo san lucas,22.89,-109.91,73.99,66,100,4.59,MX,1579974241
182,saint-pierre,-21.34,55.48,71.01,93,73,4,RE,1579974285
183,norman wells,65.28,-126.83,-18.45,95,100,10.85,CA,1579974285
184,vrangel,42.73,133.08,24.8,43,62,3.85,RU,1579974285
185,cherskiy,68.75,161.3,-24.2,93,99,2.24,RU,1579974285
186,osakarovka,50.56,72.57,3.34,96,100,16.04,KZ,1579974286
187,alofi,-19.06,-169.92,80.53,87,98,13.2,NU,1579974286
188,yamada,39.47,141.95,27,57,81,4.61,JP,1579974286
189,severo-kurilsk,50.68,156.12,16.99,91,100,44.07,RU,1579974286
190,buala,-8.14,159.59,78.08,81,64,4.5,SB,1579974286
191,morant bay,17.88,-76.41,82.99,68,55,1.99,JM,1579974287
192,harlingen,26.19,-97.7,75.99,78,99,8.01,US,1579974287
193,sri aman,1.24,111.46,73.45,98,56,1.92,MY,1579974287
194,miri,4.41,114.01,79.5,86,4,6.49,MY,1579974206
195,victoria,22.29,114.16,64,96,100,1.01,HK,1579974288
196,youkounkoun,12.53,-13.13,101.34,5,93,7.47,GN,1579974288
197,hurghada,27.26,33.81,62.4,50,0,6.51,EG,1579974270
198,tinskoy,56.15,96.92,28.51,73,100,11.21,RU,1579974288
199,cidreira,-30.18,-50.21,75.04,65,4,8.12,BR,1579974152
200,meulaboh,4.14,96.13,82.42,76,83,5.01,ID,1579974288
201,touba,8.28,-7.68,90.34,10,0,3.74,CI,1579974289
202,iqaluit,63.75,-68.51,-23.01,67,0,5.99,CA,1579974289
203,chillicothe,39.33,-82.98,39,86,90,18.34,US,1579974290
204,salina,38.84,-97.61,42.19,62,82,7.67,US,1579974185
205,turayf,31.67,38.66,42.19,63,83,5.55,SA,1579974290
206,lasa,46.62,10.7,39.2,51,84,1.12,IT,1579974290
